"year","GEOID","rate"
"2010","05029","9.7"
"2011","05029","9.9"
"2012","05029","9.2"
"2013","05029","9.3"
"2014","05029","7.2"
"2015","05029","6.3"
"2008","05031","4.9"
"2009","05031","7"
"2010","05031","7.4"
"2011","05031","7.4"
"2012","05031","6.9"
"2013","05031","6.6"
"2014","05031","5.5"
"2015","05031","4.6"
"2008","05033","4.9"
"2009","05033","7.8"
"2010","05033","8.2"
"2011","05033","8.9"
"2012","05033","8"
"2013","05033","7.7"
"2014","05033","6.1"
"2015","05033","5.4"
"2008","05035","7.9"
"2009","05035","10.9"
"2010","05035","10.5"
"2011","05035","10.9"
"2012","05035","9.6"
"2013","05035","8.5"
"2014","05035","7.5"
"2015","05035","6.4"
"2008","05037","6.8"
"2009","05037","8.4"
"2010","05037","8.3"
"2011","05037","8.4"
"2012","05037","7.9"
"2013","05037","7.7"
"2014","05037","6.4"
"2015","05037","5.6"
"2008","05039","7.2"
"2009","05039","10.2"
"2010","05039","12.3"
"2011","05039","12.5"
"2012","05039","11.5"
"2013","05039","11"
"2014","05039","9.4"
"2015","05039","7.4"
"2008","05041","8.8"
"2009","05041","11.3"
"2010","05041","11.1"
"2011","05041","11.2"
"2012","05041","9.9"
"2013","05041","9.8"
"2014","05041","8.2"
"2015","05041","7.6"
"2008","05043","7.9"
"2009","05043","11"
"2010","05043","10.9"
"2011","05043","11.6"
"2012","05043","10.7"
"2013","05043","9.9"
"2014","05043","8.5"
"2015","05043","7.1"
"2008","05045","4.8"
"2009","05045","6.9"
"2010","05045","7.2"
"2011","05045","7.2"
"2012","05045","6.6"
"2013","05045","6.6"
"2014","05045","5.6"
"2015","05045","4.8"
"2008","05047","4.5"
"2009","05047","7.3"
"2010","05047","7.7"
"2011","05047","7.7"
"2012","05047","7.1"
"2013","05047","7"
"2014","05047","5.7"
"2015","05047","5.2"
"2008","05049","5.2"
"2009","05049","7.5"
"2010","05049","7.8"
"2011","05049","7.8"
"2012","05049","7.2"
"2013","05049","7"
"2014","05049","5.9"
"2015","05049","5.4"
"2008","05051","5.6"
"2009","05051","7.6"
"2010","05051","8.5"
"2011","05051","8.8"
"2012","05051","7.9"
"2013","05051","7.7"
"2014","05051","6.4"
"2015","05051","5.7"
"2008","05053","5.2"
"2009","05053","7.1"
"2010","05053","7.1"
"2011","05053","7.4"
"2012","05053","6.8"
"2013","05053","6.6"
"2014","05053","5.5"
"2015","05053","4.7"
"2008","05055","6.6"
"2009","05055","10.1"
"2010","05055","9.7"
"2011","05055","9.7"
"2012","05055","8.7"
"2013","05055","8"
"2014","05055","6.4"
"2015","05055","5.3"
"2008","05057","5.8"
"2009","05057","8.3"
"2010","05057","9.3"
"2011","05057","8.8"
"2012","05057","7.3"
"2013","05057","7.3"
"2014","05057","6.1"
"2015","05057","5.2"
"2008","05059","6.6"
"2009","05059","8.6"
"2010","05059","8.6"
"2011","05059","8.3"
"2012","05059","7.2"
"2013","05059","7.4"
"2014","05059","5.9"
"2015","05059","5.2"
"2008","05061","5.5"
"2009","05061","8"
"2010","05061","7.8"
"2011","05061","7.5"
"2012","05061","6.7"
"2013","05061","6.5"
"2014","05061","5.9"
"2015","05061","4.4"
"2008","05063","7"
"2009","05063","8.8"
"2010","05063","8.8"
"2011","05063","9.3"
"2012","05063","9.2"
"2013","05063","9.1"
"2014","05063","7.9"
"2015","05063","6.7"
"2008","05065","6.7"
"2009","05065","9.2"
"2010","05065","10.1"
"2011","05065","9.9"
"2012","05065","8.8"
"2013","05065","8.8"
"2014","05065","7.6"
"2015","05065","6.9"
"2008","05067","7.8"
"2009","05067","10.9"
"2010","05067","11.9"
"2011","05067","11.6"
"2012","05067","10.8"
"2013","05067","11"
"2014","05067","9.3"
"2015","05067","7.8"
"2008","05069","7.7"
"2009","05069","9.8"
"2010","05069","10.4"
"2011","05069","11.1"
"2012","05069","10"
"2013","05069","10.4"
"2014","05069","8.9"
"2015","05069","7.2"
"2008","05071","4.7"
"2009","05071","7.2"
"2010","05071","8.2"
"2011","05071","7.9"
"2012","05071","7.4"
"2013","05071","7.7"
"2014","05071","6.6"
"2015","05071","6"
"2008","05073","7.1"
"2009","05073","9.5"
"2010","05073","9.9"
"2011","05073","9.7"
"2012","05073","9.5"
"2013","05073","9.8"
"2014","05073","7.9"
"2015","05073","7.9"
